database	center	child	timepoint	bin	bin_name	gene	count	type
ecoli_vf	G	G03	3	1	G03_3_bin_001	none	1	none
ecoli_vf	G	G03	3	2	G03_3_bin_002	fliG	1	bin
ecoli_vf	G	G03	3	2	G03_3_bin_002	ECS88_3547	1	bin
ecoli_vf	G	G03	3	2	G03_3_bin_002	cadA	1	bin
ecoli_vf	G	G03	7	1	G03_7_bin_001	none	1	none
ecoli_vf	G	G03	7	2	G03_7_bin_002	none	1	none
ecoli_vf	G	G05	3	1	G05_3_bin_001	none	1	none
ecoli_vf	G	G05	3	2	G05_3_bin_002	none	1	none
ecoli_vf	G	G05	7	1	G05_7_bin_001	none	1	none
ecoli_vf	G	G05	7	2	G05_7_bin_002	none	1	none
ecoli_vf	G	G05	7	3	G05_7_bin_003	none	1	none
ecoli_vf	G	G11	3	1	G11_3_bin_001	none	1	none
ecoli_vf	G	G11	3	2	G11_3_bin_002	none	1	none
ecoli_vf	G	G11	7	1	G11_7_bin_001	none	1	none
ecoli_vf	G	G11	7	2	G11_7_bin_002	none	1	none
ecoli_vf	G	G11	7	3	G11_7_bin_003	none	1	none
ecoli_vf	G	G12	3	1	G12_3_bin_001	none	1	none
ecoli_vf	G	G12	3	2	G12_3_bin_002	none	1	none
ecoli_vf	G	G13	3	1	G13_3_bin_001	none	1	none
ecoli_vf	G	G13	3	2	G13_3_bin_002	none	1	none
ecoli_vf	G	G13	7	1	G13_7_bin_001	none	1	none
ecoli_vf	G	G13	7	2	G13_7_bin_002	none	1	none
ecoli_vf	G	G14	3	1	G14_3_bin_001	none	1	none
ecoli_vf	G	G14	3	2	G14_3_bin_002	none	1	none
ecoli_vf	G	G14	7	1	G14_7_bin_001	none	1	none
ecoli_vf	G	G11	3	contig	G11_3_contig	fliG	1	contig
ecoli_vf	G	G14	7	2	G14_7_bin_002	ECNA114_2858	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ecpA	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ECS88_3547	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	mchf	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtS	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtX	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtQ	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtP	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtA	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	irp2	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	irp1	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtU	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtT	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	ybtE	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	fyuA	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	Z1307	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	cadA	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	entB	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	entA	1	bin
ecoli_vf	G	G14	7	2	G14_7_bin_002	fliY	1	bin
ecoli_vf	G	G14	7	3	G14_7_bin_003	none	1	none
ecoli_vf	G	G14	7	4	G14_7_bin_004	none	1	none
ecoli_vf	G	G15	7	1	G15_7_bin_001	none	1	none
ecoli_vf	G	G15	7	2	G15_7_bin_002	none	1	none
ecoli_vf	G	G15	7	3	G15_7_bin_003	none	1	none
ecoli_vf	G	G15	7	4	G15_7_bin_004	none	1	none
ecoli_vf	G	G15	7	5	G15_7_bin_005	none	1	none
ecoli_vf	G	G17	3	1	G17_3_bin_001	none	1	none
ecoli_vf	G	G17	3	2	G17_3_bin_002	none	1	none
ecoli_vf	G	G17	7	1	G17_7_bin_001	none	1	none
ecoli_vf	G	G17	7	2	G17_7_bin_002	none	1	none
ecoli_vf	K	K08	7	1	K08_7_bin_001	none	1	none
ecoli_vf	K	K08	7	2	K08_7_bin_002	none	1	none
ecoli_vf	K	K11	7	1	K11_7_bin_001	none	1	none
ecoli_vf	K	K11	7	2	K11_7_bin_002	none	1	none
ecoli_vf	K	K11	7	3	K11_7_bin_003	none	1	none
ecoli_vf	K	K13	7	1	K13_7_bin_001	none	1	none
ecoli_vf	K	K13	7	2	K13_7_bin_002	none	1	none
ecoli_vf	K	K14	7	1	K14_7_bin_001	none	1	none
ecoli_vf	K	K14	7	2	K14_7_bin_002	none	1	none
ecoli_vf	K	K15	7	1	K15_7_bin_001	none	1	none
ecoli_vf	K	K15	7	2	K15_7_bin_002	none	1	none
ecoli_vf	K	K16	3	1	K16_3_bin_001	EC958_3099	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	EC958_3095	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ECNA114_2860	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ECNA114_2858	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ECNA114_2857	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ECNA114_28561	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ECNA114_2856	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	EC958_5032	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	EC958_5031	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	yijP	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	trat	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	usp	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ppdD	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	hofB	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	hofC	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	aslA	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ECS88_3547	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	gspo	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	yjaa	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	upaG/ehaG	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	hofq	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuS	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuA	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuT	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuW	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuX	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuY	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuU	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	chuV	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	gadX	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	senB	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	int	1	bin
ecoli_vf	K	K16	3	1	K16_3_bin_001	ccdb	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	papX	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	ompt	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	ibeB	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	papI	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	iucA	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	iucB	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	iucC	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	iucD	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	iutA	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	sat	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	cadA	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	papI	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	fimE	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	fimA	1	bin
ecoli_vf	K	K16	3	2	K16_3_bin_002	fimI	1	bin
